name,user,html_url,id,node_id,description,stars,forks,prs,language,api_url,created_at,updated_at,pushed_at,license
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,132464395,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,131759,43558,1028,Java,https://api.github.com/repos/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2023-03-11T15:03:53Z,2023-03-10T03:52:11Z,NO LICENSE
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,22790488,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,Design patterns implemented in Java,80201,24702,1616,Java,https://api.github.com/repos/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2023-03-11T14:54:06Z,2023-03-08T09:36:59Z,Other
LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,160640094,MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,72472,13826,74,Java,https://api.github.com/repos/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2023-03-11T14:04:36Z,2022-03-06T09:10:42Z,NO LICENSE
advanced-java,doocs,https://github.com/doocs/advanced-java,151834062,MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,69010,18134,114,Java,https://api.github.com/repos/doocs/advanced-java,2018-10-06T11:38:30Z,2023-03-11T12:10:42Z,2023-03-06T12:09:22Z,Creative Commons Attribution Share Alike 4.0 International
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,6296790,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,Spring Boot,66035,38130,5598,Java,https://api.github.com/repos/spring-projects/spring-boot,2012-10-19T15:02:57Z,2023-03-11T13:46:18Z,2023-03-11T13:06:39Z,Apache License 2.0
mall,macrozheng,https://github.com/macrozheng/mall,127988011,MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,64043,26391,105,Java,https://api.github.com/repos/macrozheng/mall,2018-04-04T01:11:44Z,2023-03-11T13:36:38Z,2023-03-10T09:05:01Z,Apache License 2.0
elasticsearch,elastic,https://github.com/elastic/elasticsearch,507775,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,"Free and Open, Distributed, RESTful Search Engine",62983,22835,62496,Java,https://api.github.com/repos/elastic/elasticsearch,2010-02-08T13:20:56Z,2023-03-11T14:53:37Z,2023-03-11T11:54:57Z,Other
GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,206462776,MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,60384,8750,17,Java,https://api.github.com/repos/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2023-03-11T14:56:43Z,2023-03-11T00:48:08Z,Other
interviews,kdn251,https://github.com/kdn251/interviews,81975372,MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,Everything you need to know to get the job.,59328,12502,162,Java,https://api.github.com/repos/kdn251/interviews,2017-02-14T18:19:25Z,2023-03-11T12:19:26Z,2023-02-18T16:00:23Z,MIT License
spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,1148753,MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,Spring Framework,51026,35681,4147,Java,https://api.github.com/repos/spring-projects/spring-framework,2010-12-08T04:04:45Z,2023-03-11T13:21:03Z,2023-03-11T14:29:24Z,Apache License 2.0
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,63477660,MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,All Algorithms implemented in Java,50638,16667,3039,Java,https://api.github.com/repos/TheAlgorithms/Java,2016-07-16T10:21:02Z,2023-03-11T14:43:52Z,2023-03-11T14:07:29Z,MIT License
guava,google,https://github.com/google/guava,20300177,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,Google core libraries for Java,46952,10426,1562,Java,https://api.github.com/repos/google/guava,2014-05-29T16:23:17Z,2023-03-11T11:34:20Z,2023-03-11T02:37:55Z,Apache License 2.0
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,7508411,MDEwOlJlcG9zaXRvcnk3NTA4NDEx,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,46860,7666,3766,Java,https://api.github.com/repos/ReactiveX/RxJava,2013-01-08T20:11:48Z,2023-03-11T14:01:29Z,2023-03-10T04:58:22Z,Apache License 2.0
retrofit,square,https://github.com/square/retrofit,892275,MDEwOlJlcG9zaXRvcnk4OTIyNzU=,A type-safe HTTP client for Android and the JVM,41253,7242,1160,Java,https://api.github.com/repos/square/retrofit,2010-09-06T21:39:43Z,2023-03-11T08:41:28Z,2023-03-10T19:54:44Z,Apache License 2.0
